url_length,query_length,path_depth,num_params,has_special_chars,special_char_ratio,has_encoded_chars,encoded_char_count,has_sql_keywords,sql_keyword_count,has_script_tags,has_common_attack_path,method_encoded,status_code,status_group,response_bytes,is_post,is_login_path,hour_of_day,entropy,ip_req_count_5m,ip_unique_paths_5m,ip_error_rate_5m,ip_login_fail_count_5m,global_rps_1m,event_ts,split_group,label
20,8,2,1,0,0.0,0,0,0,0,0,0,0,200,2,4378,0,0,0,2.75,1,1,0.0,0,0.13333333333333333,2026-01-10T00:01:46+0300,2026-01-10T00:00:00+0300,NORMAL
11,0,2,0,0,0.0,0,0,0,0,0,0,0,200,2,5590,0,0,0,0.0,1,1,0.0,0,0.13333333333333333,2026-01-10T00:01:51+0300,2026-01-10T00:00:00+0300,NORMAL
9,0,1,0,0,0.0,0,0,0,0,0,0,0,200,2,16093,0,0,0,0.0,2,2,0.0,0,0.11666666666666667,2026-01-10T00:02:04+0300,2026-01-10T00:00:00+0300,NORMAL
9,0,1,0,0,0.0,0,0,0,0,0,0,0,200,2,16857,0,0,0,0.0,1,1,0.0,0,0.11666666666666667,2026-01-10T00:02:09+0300,2026-01-10T00:00:00+0300,NORMAL
13,0,3,0,0,0.0,0,0,0,0,0,0,0,304,3,4380,0,0,0,0.0,2,2,0.0,0,0.11666666666666667,2026-01-10T00:02:20+0300,2026-01-10T00:00:00+0300,NORMAL
27,16,2,2,0,0.0,0,0,1,1,0,0,0,200,2,14456,0,0,0,3.625,1,1,0.0,0,0.11666666666666667,2026-01-10T00:02:26+0300,2026-01-10T00:00:00+0300,NORMAL
5,0,1,0,0,0.0,0,0,0,0,0,0,0,200,2,5360,0,1,0,0.0,1,1,0.0,0,0.11666666666666667,2026-01-10T00:02:32+0300,2026-01-10T00:00:00+0300,NORMAL
20,8,2,1,0,0.0,0,0,0,0,0,0,0,200,2,12883,0,0,0,2.75,2,2,0.0,0,0.11666666666666667,2026-01-10T00:02:41+0300,2026-01-10T00:00:00+0300,NORMAL
27,16,2,2,0,0.0,0,0,1,1,0,0,0,200,2,46753,0,0,0,3.625,1,1,0.0,0,0.11666666666666667,2026-01-10T00:02:56+0300,2026-01-10T00:00:00+0300,NORMAL
6,0,1,0,0,0.0,0,0,0,0,0,0,0,200,2,4340,0,0,0,0.0,1,1,0.0,0,0.05,2026-01-10T00:03:29+0300,2026-01-10T00:00:00+0300,NORMAL
4,0,1,0,0,0.0,0,0,0,0,0,0,0,200,2,20993,0,0,0,0.0,1,1,0.0,0,0.05,2026-01-10T00:03:36+0300,2026-01-10T00:00:00+0300,NORMAL
10,0,2,0,0,0.0,0,0,0,0,0,0,0,200,2,1652,0,0,0,0.0,1,1,0.0,0,0.05,2026-01-10T00:03:37+0300,2026-01-10T00:00:00+0300,NORMAL
26,15,2,2,0,0.0,0,0,1,1,0,0,0,200,2,6681,0,0,0,3.5068905956085183,1,1,0.0,0,0.06666666666666667,2026-01-10T00:04:05+0300,2026-01-10T00:00:00+0300,NORMAL
9,0,1,0,0,0.0,0,0,0,0,0,0,0,200,2,6598,0,0,0,0.0,1,1,0.0,0,0.06666666666666667,2026-01-10T00:04:07+0300,2026-01-10T00:00:00+0300,NORMAL
11,0,2,0,0,0.0,0,0,0,0,0,0,0,200,2,9857,0,0,0,0.0,1,1,0.0,0,0.06666666666666667,2026-01-10T00:04:39+0300,2026-01-10T00:00:00+0300,NORMAL
20,8,2,1,0,0.0,0,0,0,0,0,0,0,200,2,4042,0,0,0,2.75,1,1,0.0,0,0.06666666666666667,2026-01-10T00:04:51+0300,2026-01-10T00:00:00+0300,NORMAL
16,0,2,0,0,0.0,0,0,0,0,0,0,0,304,3,894,0,0,0,0.0,1,1,0.0,0,0.15,2026-01-10T00:05:08+0300,2026-01-10T00:00:00+0300,NORMAL
30,20,1,1,0,0.0,0,0,0,0,0,0,0,200,2,11045,0,0,0,3.546439344671015,1,1,0.0,0,0.15,2026-01-10T00:05:14+0300,2026-01-10T00:00:00+0300,NORMAL
26,15,2,2,0,0.0,0,0,1,1,0,0,0,200,2,3960,0,0,0,3.5068905956085183,1,1,0.0,0,0.15,2026-01-10T00:05:16+0300,2026-01-10T00:00:00+0300,NORMAL
12,0,1,0,0,0.0,0,0,0,0,0,0,0,200,2,16637,0,0,0,0.0,1,1,0.0,0,0.15,2026-01-10T00:05:17+0300,2026-01-10T00:00:00+0300,NORMAL
13,0,3,0,0,0.0,0,0,0,0,0,0,0,200,2,5518,0,0,0,0.0,3,3,0.0,0,0.15,2026-01-10T00:05:26+0300,2026-01-10T00:00:00+0300,NORMAL
16,8,1,1,0,0.0,0,0,0,0,0,0,0,200,2,17849,0,0,0,2.75,2,2,0.0,0,0.15,2026-01-10T00:05:29+0300,2026-01-10T00:00:00+0300,NORMAL
14,0,2,0,0,0.0,0,0,0,0,0,1,0,200,2,10539,0,0,0,0.0,2,2,0.0,0,0.15,2026-01-10T00:05:52+0300,2026-01-10T00:00:00+0300,NORMAL
7,0,1,0,0,0.0,0,0,0,0,0,0,0,200,2,1140,0,0,0,0.0,2,2,0.0,0,0.15,2026-01-10T00:05:58+0300,2026-01-10T00:00:00+0300,NORMAL
15,7,1,1,0,0.0,0,0,0,0,0,0,0,200,2,11355,0,0,0,2.807354922057604,2,2,0.0,0,0.15,2026-01-10T00:05:59+0300,2026-01-10T00:00:00+0300,NORMAL
24,14,1,1,0,0.0,0,0,0,0,0,0,0,200,2,18269,0,0,0,3.4677201004745006,2,2,0.0,0,0.06666666666666667,2026-01-10T00:06:13+0300,2026-01-10T00:00:00+0300,NORMAL
20,8,2,1,0,0.0,0,0,0,0,0,0,0,301,3,9862,0,0,0,2.75,1,1,0.0,0,0.06666666666666667,2026-01-10T00:06:40+0300,2026-01-10T00:00:00+0300,NORMAL
8,0,1,0,0,0.0,0,0,0,0,0,0,0,200,2,22226,0,0,0,0.0,1,1,0.0,0,0.06666666666666667,2026-01-10T00:06:55+0300,2026-01-10T00:00:00+0300,NORMAL
11,0,1,0,0,0.0,0,0,0,0,0,0,0,200,2,6145,0,0,0,0.0,3,3,0.0,0,0.06666666666666667,2026-01-10T00:06:56+0300,2026-01-10T00:00:00+0300,NORMAL
5,0,1,0,0,0.0,0,0,0,0,0,0,0,200,2,14477,0,0,0,0.0,2,2,0.0,0,0.21666666666666667,2026-01-10T00:07:03+0300,2026-01-10T00:00:00+0300,NORMAL
16,0,2,0,0,0.0,0,0,0,0,0,0,0,304,3,7130,0,0,0,0.0,1,1,0.0,0,0.21666666666666667,2026-01-10T00:07:03+0300,2026-01-10T00:00:00+0300,NORMAL
9,0,1,0,0,0.0,0,0,0,0,0,0,0,404,4,20836,0,0,0,0.0,1,1,1.0,0,0.21666666666666667,2026-01-10T00:07:07+0300,2026-01-10T00:00:00+0300,NORMAL
15,0,2,0,0,0.0,0,0,0,0,0,1,0,200,2,7809,0,1,0,0.0,1,1,0.0,0,0.21666666666666667,2026-01-10T00:07:09+0300,2026-01-10T00:00:00+0300,NORMAL
14,0,2,0,0,0.0,0,0,0,0,0,1,0,200,2,4338,0,0,0,0.0,1,1,0.0,0,0.21666666666666667,2026-01-10T00:07:13+0300,2026-01-10T00:00:00+0300,NORMAL
30,20,1,1,0,0.0,0,0,0,0,0,0,0,200,2,6151,0,0,0,3.546439344671015,1,1,0.0,0,0.21666666666666667,2026-01-10T00:07:17+0300,2026-01-10T00:00:00+0300,NORMAL
29,19,1,1,0,0.0,0,0,1,1,0,0,0,200,2,10134,0,0,0,3.5110854081804264,1,1,0.0,0,0.21666666666666667,2026-01-10T00:07:25+0300,2026-01-10T00:00:00+0300,NORMAL
7,0,1,0,0,0.0,0,0,0,0,0,0,0,304,3,1878,0,0,0,0.0,1,1,0.0,0,0.21666666666666667,2026-01-10T00:07:37+0300,2026-01-10T00:00:00+0300,NORMAL
18,0,3,0,0,0.0,0,0,0,0,0,0,0,200,2,2428,0,0,0,0.0,1,1,0.0,0,0.21666666666666667,2026-01-10T00:07:40+0300,2026-01-10T00:00:00+0300,NORMAL
11,0,2,0,0,0.0,0,0,0,0,0,0,0,200,2,6571,0,0,0,0.0,1,1,0.0,0,0.21666666666666667,2026-01-10T00:07:42+0300,2026-01-10T00:00:00+0300,NORMAL
18,0,3,0,0,0.0,0,0,0,0,0,0,0,200,2,4159,0,0,0,0.0,1,1,0.0,0,0.21666666666666667,2026-01-10T00:07:45+0300,2026-01-10T00:00:00+0300,NORMAL
19,11,1,1,1,0.05263157894736842,1,1,0,0,0,0,0,301,3,3512,0,0,0,3.277613436819116,2,2,0.0,0,0.21666666666666667,2026-01-10T00:07:46+0300,2026-01-10T00:00:00+0300,NORMAL
11,0,2,0,0,0.0,0,0,0,0,0,0,0,200,2,7883,0,1,0,0.0,3,3,0.0,0,0.21666666666666667,2026-01-10T00:07:51+0300,2026-01-10T00:00:00+0300,NORMAL
4,0,1,0,0,0.0,0,0,0,0,0,0,0,200,2,4553,0,0,0,0.0,2,2,0.0,0,0.11666666666666667,2026-01-10T00:08:00+0300,2026-01-10T00:00:00+0300,NORMAL
16,0,2,0,0,0.0,0,0,0,0,0,0,0,200,2,23708,0,0,0,0.0,2,2,0.0,0,0.11666666666666667,2026-01-10T00:08:30+0300,2026-01-10T00:00:00+0300,NORMAL
26,15,2,2,0,0.0,0,0,1,1,0,0,0,404,4,1131,0,0,0,3.5068905956085183,1,1,1.0,0,0.11666666666666667,2026-01-10T00:08:34+0300,2026-01-10T00:00:00+0300,NORMAL
12,0,1,0,0,0.0,0,0,0,0,0,0,0,200,2,20104,0,0,0,0.0,1,1,0.0,0,0.11666666666666667,2026-01-10T00:08:37+0300,2026-01-10T00:00:00+0300,NORMAL
10,0,2,0,0,0.0,0,0,0,0,0,0,0,200,2,1517,0,0,0,0.0,1,1,0.0,0,0.11666666666666667,2026-01-10T00:08:44+0300,2026-01-10T00:00:00+0300,NORMAL
12,0,1,0,0,0.0,0,0,0,0,0,0,0,200,2,1064,0,0,0,0.0,1,1,0.0,0,0.11666666666666667,2026-01-10T00:08:52+0300,2026-01-10T00:00:00+0300,NORMAL
14,0,3,0,0,0.0,0,0,0,0,0,0,0,200,2,3220,0,0,0,0.0,2,2,0.0,0,0.11666666666666667,2026-01-10T00:08:53+0300,2026-01-10T00:00:00+0300,NORMAL
9,0,1,0,0,0.0,0,0,0,0,0,1,1,200,2,5244,1,1,0,0.0,1,1,0.0,0,0.13333333333333333,2026-01-10T00:09:08+0300,2026-01-10T00:00:00+0300,NORMAL
29,19,1,1,0,0.0,0,0,1,1,0,0,0,200,2,7924,0,0,0,3.5110854081804264,2,2,0.0,0,0.13333333333333333,2026-01-10T00:09:17+0300,2026-01-10T00:00:00+0300,NORMAL
5,0,1,0,0,0.0,0,0,0,0,0,0,0,200,2,5443,0,0,0,0.0,2,2,0.5,0,0.13333333333333333,2026-01-10T00:09:23+0300,2026-01-10T00:00:00+0300,NORMAL
11,0,1,0,0,0.0,0,0,0,0,0,0,0,404,4,23151,0,0,0,0.0,2,2,0.5,0,0.13333333333333333,2026-01-10T00:09:33+0300,2026-01-10T00:00:00+0300,NORMAL
11,0,2,0,0,0.0,0,0,0,0,0,0,0,200,2,3795,0,1,0,0.0,2,2,0.0,0,0.13333333333333333,2026-01-10T00:09:34+0300,2026-01-10T00:00:00+0300,NORMAL
19,11,1,1,1,0.05263157894736842,1,1,0,0,0,0,0,200,2,7533,0,0,0,3.277613436819116,1,1,0.0,0,0.13333333333333333,2026-01-10T00:09:35+0300,2026-01-10T00:00:00+0300,NORMAL
30,20,1,1,0,0.0,0,0,0,0,0,0,0,200,2,14466,0,0,0,3.546439344671015,1,1,0.0,0,0.13333333333333333,2026-01-10T00:09:45+0300,2026-01-10T00:00:00+0300,NORMAL
17,6,2,1,0,0.0,0,0,0,0,0,0,0,200,2,9025,0,0,0,2.584962500721156,1,1,0.0,0,0.13333333333333333,2026-01-10T00:09:54+0300,2026-01-10T00:00:00+0300,NORMAL
7,0,1,0,0,0.0,0,0,0,0,0,0,0,200,2,1486,0,1,0,0.0,1,1,0.0,0,0.08333333333333333,2026-01-10T00:10:03+0300,2026-01-10T00:00:00+0300,NORMAL
10,0,2,0,0,0.0,0,0,0,0,0,0,0,200,2,1856,0,0,0,0.0,1,1,0.0,0,0.08333333333333333,2026-01-10T00:10:11+0300,2026-01-10T00:00:00+0300,NORMAL
30,20,1,1,0,0.0,0,0,0,0,0,0,0,200,2,12805,0,0,0,3.546439344671015,2,2,0.0,0,0.08333333333333333,2026-01-10T00:10:37+0300,2026-01-10T00:00:00+0300,NORMAL
13,0,3,0,0,0.0,0,0,0,0,0,0,0,200,2,10606,0,0,0,0.0,1,1,0.0,0,0.08333333333333333,2026-01-10T00:10:37+0300,2026-01-10T00:00:00+0300,NORMAL
24,14,1,1,0,0.0,0,0,0,0,0,0,0,200,2,13726,0,0,0,3.4677201004745006,1,1,0.0,0,0.08333333333333333,2026-01-10T00:10:40+0300,2026-01-10T00:00:00+0300,NORMAL
11,0,1,0,0,0.0,0,0,0,0,0,0,0,200,2,5134,0,0,0,0.0,2,2,0.0,0,0.03333333333333333,2026-01-10T00:11:04+0300,2026-01-10T00:00:00+0300,NORMAL
14,0,3,0,0,0.0,0,0,0,0,0,0,0,200,2,4406,0,0,0,0.0,1,1,0.0,0,0.03333333333333333,2026-01-10T00:11:23+0300,2026-01-10T00:00:00+0300,NORMAL
12,0,2,0,0,0.0,0,0,0,0,0,1,0,200,2,8022,0,1,0,0.0,1,1,0.0,0,0.15,2026-01-10T00:12:21+0300,2026-01-10T00:00:00+0300,NORMAL
20,8,2,1,0,0.0,0,0,0,0,0,0,0,200,2,9523,0,0,0,2.75,2,2,0.0,0,0.15,2026-01-10T00:12:28+0300,2026-01-10T00:00:00+0300,NORMAL
6,0,1,0,0,0.0,0,0,0,0,0,1,0,200,2,4882,0,1,0,0.0,1,1,0.0,0,0.15,2026-01-10T00:12:30+0300,2026-01-10T00:00:00+0300,NORMAL
27,16,2,2,0,0.0,0,0,1,1,0,0,0,304,3,41299,0,0,0,3.75,1,1,0.0,0,0.15,2026-01-10T00:12:31+0300,2026-01-10T00:00:00+0300,NORMAL
5,0,1,0,0,0.0,0,0,0,0,0,0,0,200,2,15503,0,0,0,0.0,2,2,0.0,0,0.15,2026-01-10T00:12:38+0300,2026-01-10T00:00:00+0300,NORMAL
6,0,1,0,0,0.0,0,0,0,0,0,0,4,200,2,19135,0,0,0,0.0,1,1,0.0,0,0.15,2026-01-10T00:12:41+0300,2026-01-10T00:00:00+0300,NORMAL
33,21,2,1,0,0.0,0,0,0,0,0,0,0,200,2,8527,0,0,0,3.630412660873998,2,2,0.0,0,0.15,2026-01-10T00:12:49+0300,2026-01-10T00:00:00+0300,NORMAL
10,0,2,0,0,0.0,0,0,0,0,0,0,0,200,2,8089,0,0,0,0.0,2,2,0.0,0,0.15,2026-01-10T00:12:52+0300,2026-01-10T00:00:00+0300,NORMAL
8,0,1,0,0,0.0,0,0,0,0,0,0,0,200,2,17536,0,0,0,0.0,2,2,0.0,0,0.15,2026-01-10T00:12:53+0300,2026-01-10T00:00:00+0300,NORMAL
10,0,2,0,0,0.0,0,0,0,0,0,0,4,200,2,2751,0,0,0,0.0,1,1,0.0,0,0.1,2026-01-10T00:13:03+0300,2026-01-10T00:00:00+0300,NORMAL
11,0,2,0,0,0.0,0,0,0,0,0,0,0,200,2,3294,0,1,0,0.0,1,1,0.0,0,0.1,2026-01-10T00:13:08+0300,2026-01-10T00:00:00+0300,NORMAL
14,0,2,0,0,0.0,0,0,0,0,0,0,0,200,2,11682,0,0,0,0.0,2,2,0.0,0,0.1,2026-01-10T00:13:11+0300,2026-01-10T00:00:00+0300,NORMAL
8,0,1,0,0,0.0,0,0,0,0,0,0,0,301,3,12115,0,0,0,0.0,1,1,0.0,0,0.1,2026-01-10T00:13:16+0300,2026-01-10T00:00:00+0300,NORMAL
27,16,2,2,0,0.0,0,0,1,1,0,0,0,200,2,44189,0,0,0,3.75,1,1,0.0,0,0.1,2026-01-10T00:13:23+0300,2026-01-10T00:00:00+0300,NORMAL
29,21,1,1,0,0.0,0,0,1,1,0,0,0,200,2,5105,0,0,0,3.653756708287001,1,1,0.0,0,0.1,2026-01-10T00:13:48+0300,2026-01-10T00:00:00+0300,NORMAL
5,0,1,0,0,0.0,0,0,0,0,0,0,1,301,3,1740,1,0,0,0.0,1,1,0.0,0,0.11666666666666667,2026-01-10T00:14:02+0300,2026-01-10T00:00:00+0300,NORMAL
13,0,3,0,0,0.0,0,0,0,0,0,0,0,200,2,6934,0,0,0,0.0,1,1,0.0,0,0.11666666666666667,2026-01-10T00:14:03+0300,2026-01-10T00:00:00+0300,NORMAL
17,6,2,1,0,0.0,0,0,0,0,0,0,0,200,2,8816,0,0,0,2.584962500721156,1,1,0.0,0,0.11666666666666667,2026-01-10T00:14:07+0300,2026-01-10T00:00:00+0300,NORMAL
9,0,1,0,0,0.0,0,0,0,0,0,0,0,301,3,22256,0,0,0,0.0,1,1,0.0,0,0.11666666666666667,2026-01-10T00:14:09+0300,2026-01-10T00:00:00+0300,NORMAL
8,0,1,0,0,0.0,0,0,0,0,0,0,0,200,2,13350,0,0,0,0.0,1,1,0.0,0,0.11666666666666667,2026-01-10T00:14:10+0300,2026-01-10T00:00:00+0300,NORMAL
12,0,1,0,0,0.0,0,0,0,0,0,0,0,200,2,22717,0,0,0,0.0,1,1,0.0,0,0.11666666666666667,2026-01-10T00:14:14+0300,2026-01-10T00:00:00+0300,NORMAL
8,0,1,0,0,0.0,0,0,0,0,0,0,0,200,2,11169,0,0,0,0.0,1,1,0.0,0,0.11666666666666667,2026-01-10T00:14:58+0300,2026-01-10T00:00:00+0300,NORMAL
12,0,2,0,0,0.0,0,0,0,0,0,1,0,200,2,5964,0,1,0,0.0,1,1,0.0,0,0.05,2026-01-10T00:15:03+0300,2026-01-10T00:00:00+0300,NORMAL
12,0,2,0,0,0.0,0,0,0,0,0,1,0,301,3,8295,0,1,0,0.0,1,1,0.0,0,0.05,2026-01-10T00:15:21+0300,2026-01-10T00:00:00+0300,NORMAL
17,6,2,1,0,0.0,0,0,0,0,0,0,0,200,2,15757,0,0,0,2.584962500721156,1,1,0.0,0,0.05,2026-01-10T00:15:26+0300,2026-01-10T00:00:00+0300,NORMAL
16,0,2,0,0,0.0,0,0,0,0,0,0,0,304,3,2924,0,0,0,0.0,1,1,0.0,0,0.11666666666666667,2026-01-10T00:16:18+0300,2026-01-10T00:00:00+0300,NORMAL
6,0,1,0,0,0.0,0,0,0,0,0,0,0,200,2,14213,0,0,0,0.0,2,2,0.0,0,0.11666666666666667,2026-01-10T00:16:19+0300,2026-01-10T00:00:00+0300,NORMAL
1,0,1,0,0,0.0,0,0,0,0,0,0,4,200,2,1301,0,0,0,0.0,1,1,0.0,0,0.11666666666666667,2026-01-10T00:16:42+0300,2026-01-10T00:00:00+0300,NORMAL
5,0,1,0,0,0.0,0,0,0,0,0,0,0,301,3,17971,0,0,0,0.0,2,2,0.0,0,0.11666666666666667,2026-01-10T00:16:42+0300,2026-01-10T00:00:00+0300,NORMAL
9,0,1,0,0,0.0,0,0,0,0,0,0,0,200,2,15298,0,0,0,0.0,2,2,0.0,0,0.11666666666666667,2026-01-10T00:16:51+0300,2026-01-10T00:00:00+0300,NORMAL
10,0,2,0,0,0.0,0,0,0,0,0,0,0,404,4,11754,0,0,0,0.0,1,1,1.0,0,0.11666666666666667,2026-01-10T00:16:52+0300,2026-01-10T00:00:00+0300,NORMAL
6,0,1,0,0,0.0,0,0,0,0,0,0,0,200,2,10492,0,0,0,0.0,1,1,0.0,0,0.11666666666666667,2026-01-10T00:16:57+0300,2026-01-10T00:00:00+0300,NORMAL
12,0,1,0,0,0.0,0,0,0,0,0,0,0,200,2,11289,0,0,0,0.0,1,1,0.0,0,0.06666666666666667,2026-01-10T00:17:14+0300,2026-01-10T00:00:00+0300,NORMAL
11,0,2,0,0,0.0,0,0,0,0,0,0,1,200,2,2137,1,1,0,0.0,1,1,0.0,0,0.06666666666666667,2026-01-10T00:17:28+0300,2026-01-10T00:00:00+0300,NORMAL
17,6,2,1,0,0.0,0,0,0,0,0,0,0,200,2,3417,0,0,0,2.584962500721156,1,1,0.0,0,0.06666666666666667,2026-01-10T00:17:47+0300,2026-01-10T00:00:00+0300,NORMAL
14,0,2,0,0,0.0,0,0,0,0,0,0,0,200,2,18584,0,0,0,0.0,1,1,0.0,0,0.06666666666666667,2026-01-10T00:17:54+0300,2026-01-10T00:00:00+0300,NORMAL
27,16,2,2,0,0.0,0,0,1,1,0,0,0,200,2,2244,0,0,0,3.75,1,1,0.0,0,0.11666666666666667,2026-01-10T00:18:05+0300,2026-01-10T00:00:00+0300,NORMAL
14,0,2,0,0,0.0,0,0,0,0,0,0,0,200,2,15136,0,0,0,0.0,1,1,0.0,0,0.11666666666666667,2026-01-10T00:18:10+0300,2026-01-10T00:00:00+0300,NORMAL
11,0,1,0,0,0.0,0,0,0,0,0,0,0,200,2,4150,0,0,0,0.0,2,2,0.5,0,0.11666666666666667,2026-01-10T00:18:13+0300,2026-01-10T00:00:00+0300,NORMAL
12,0,1,0,0,0.0,0,0,0,0,0,0,0,200,2,20574,0,0,0,0.0,1,1,0.0,0,0.11666666666666667,2026-01-10T00:18:19+0300,2026-01-10T00:00:00+0300,NORMAL
29,0,3,0,0,0.0,0,0,0,0,0,0,0,404,4,2830,0,0,0,0.0,2,2,0.5,0,0.11666666666666667,2026-01-10T00:18:35+0300,2026-01-10T00:00:00+0300,NORMAL
5,0,1,0,0,0.0,0,0,0,0,0,0,0,200,2,23104,0,0,0,0.0,1,1,0.0,0,0.11666666666666667,2026-01-10T00:18:45+0300,2026-01-10T00:00:00+0300,NORMAL
8,0,1,0,0,0.0,0,0,0,0,0,0,0,200,2,5975,0,0,0,0.0,2,2,0.0,0,0.11666666666666667,2026-01-10T00:18:52+0300,2026-01-10T00:00:00+0300,NORMAL
9,0,1,0,0,0.0,0,0,0,0,0,0,1,200,2,4276,1,0,0,0.0,1,1,0.0,0,0.08333333333333333,2026-01-10T00:19:06+0300,2026-01-10T00:00:00+0300,NORMAL
7,0,1,0,0,0.0,0,0,0,0,0,0,0,200,2,7515,0,0,0,0.0,1,1,0.0,0,0.08333333333333333,2026-01-10T00:19:27+0300,2026-01-10T00:00:00+0300,NORMAL
26,15,2,2,0,0.0,0,0,1,1,0,0,0,200,2,475,0,0,0,3.5068905956085183,1,1,0.0,0,0.08333333333333333,2026-01-10T00:19:29+0300,2026-01-10T00:00:00+0300,NORMAL
26,15,2,2,0,0.0,0,0,1,1,0,0,0,200,2,7481,0,0,0,3.5068905956085183,1,1,0.0,0,0.08333333333333333,2026-01-10T00:19:39+0300,2026-01-10T00:00:00+0300,NORMAL
14,0,2,0,0,0.0,0,0,0,0,0,0,0,200,2,2506,0,0,0,0.0,1,1,0.0,0,0.08333333333333333,2026-01-10T00:19:49+0300,2026-01-10T00:00:00+0300,NORMAL
9,0,1,0,0,0.0,0,0,0,0,0,0,0,200,2,17775,0,0,0,0.0,2,2,0.0,0,0.2,2026-01-10T00:20:09+0300,2026-01-10T00:00:00+0300,NORMAL
14,0,2,0,0,0.0,0,0,0,0,0,1,0,404,4,11403,0,0,0,0.0,1,1,1.0,0,0.2,2026-01-10T00:20:09+0300,2026-01-10T00:00:00+0300,NORMAL
30,20,1,1,0,0.0,0,0,0,0,0,0,0,200,2,5681,0,0,0,3.546439344671015,2,2,0.0,0,0.2,2026-01-10T00:20:11+0300,2026-01-10T00:00:00+0300,NORMAL
12,0,1,0,0,0.0,0,0,0,0,0,0,0,200,2,19487,0,0,0,0.0,1,1,0.0,0,0.2,2026-01-10T00:20:22+0300,2026-01-10T00:00:00+0300,NORMAL
12,0,1,0,0,0.0,0,0,0,0,0,0,0,304,3,4850,0,0,0,0.0,1,1,0.0,0,0.2,2026-01-10T00:20:22+0300,2026-01-10T00:00:00+0300,NORMAL
9,0,1,0,0,0.0,0,0,0,0,0,0,0,200,2,21952,0,0,0,0.0,1,1,0.0,0,0.2,2026-01-10T00:20:25+0300,2026-01-10T00:00:00+0300,NORMAL
10,0,2,0,0,0.0,0,0,0,0,0,0,0,200,2,9220,0,0,0,0.0,2,2,0.0,0,0.2,2026-01-10T00:20:26+0300,2026-01-10T00:00:00+0300,NORMAL
1,0,1,0,0,0.0,0,0,0,0,0,0,0,200,2,5963,0,0,0,0.0,1,1,0.0,0,0.2,2026-01-10T00:20:36+0300,2026-01-10T00:00:00+0300,NORMAL
1,0,1,0,0,0.0,0,0,0,0,0,0,0,200,2,19275,0,0,0,0.0,2,2,0.0,0,0.2,2026-01-10T00:20:37+0300,2026-01-10T00:00:00+0300,NORMAL
